Name,School,Position,Drafted By,Age on Draft Day,Height (FIIE),Weight (lbs.),Arm Length (inches),Hand Span (inches),Bench Press (reps),40-yard Dash (seconds),10-yard Split (seconds),20-yard Split (seconds),20-yard Shuttle (seconds),Three-cone Drill (seconds),Vertical Jump (inches),Broad Jump (FFII),RAS,Production,Ranking,
Abdul Carter,Penn State,EDGE,,21.3,,,,,,,,,,,,,,9.50,1,
Travis Hunter,Colorado,CB,,21.9,6003,188,31.375,9.125,,,,,,,,,,10.00,2,
Ashton Jeanty,Boise State,RB,,21.4,5084,211,29.25,9.25,,,,,,,,,,9.80,3,
Mason Graham,Michigan,DL,,21.6,6034,296,32.00,9.125,24,,,,,,,,,9.30,4,
Tyler Warren,Penn State,TE,,22.9,6054,256,31.625,9.50,,,,,,,,,,9.80,5,
Jalon Walker,Georgia,LB,,21.2,6010,243,32.00,10.25,,,,,,,,,,7.10,6,
Jahdae Barron,Texas,CB,,23.4,5106,194,29.50,9.50,,4.39,1.55,2.56,,,35.0,1003,8.80,9.40,7,
Will Campbell,LSU,OT,,21.3,6057,319,32.50,9.50,,4.98,1.76,2.92,,,32.0,0905,9.89,8.40,8,
Colston Loveland,Michigan,TE,,21.0,6056,248,32.625,10.00,,,,,,,,,,8.60,9,
Cam Ward,Miami,QB,,22.9,6015,219,30.50,9.00,,,,,,,,,,8.50,10,
Armand Membou,Missouri,OT,,21.1,6042,332,33.50,9.625,31,4.91,1.74,2.84,,,34.0,0907,9.89,8.40,11,
Jihaad Campbell,Alabama,LB,,21.2,6027,235,32.50,10.50,,4.52,1.58,2.66,,,,1007,9.87,7.80,12,
Omarion Hampton,North Carolina,RB,,22.1,5116,221,30.50,9.375,18,4.46,1.53,2.57,4.40,,38.0,1010,9.68,8.40,13,
Will Johnson,Michigan,CB,,22.1,6016,194,30.125,9.125,,,,,,,,,,8.00,14,
Matthew Golden,Texas,WR,,21.7,5110,191,30.50,9.50,,4.29,1.47,2.49,,,,,,7.40,15,
Emeka Egbuka,Ohio State,WR,,22.5,6007,202,31.50,9.50,,,,,,,,,,7.80,16,
Tetairoa McMillan,Arizona,WR,,22.1,6041,219,31.50,10.00,,,,,,,,,,8.40,17,
Nick Emmanwori,South Carolina,S,,21.2,6031,220,32.50,9.00,20,4.38,1.53,2.57,,,43.0,1106,10.00,8.2,18,
Mykel Williams,Georgia,EDGE,,20.8,6051,260,34.375,10.25,,4.73,1.65,,,,,,,6.80,19,
Mike Green,Marshall,EDGE,,,6031,251,32.00,8.50,28,,,,,,,,,7.70,20,
Luther Burden III,Missouri,WR,,21.3,6000,206,31.25,8.50,,4.41,1.54,,,,,,,7.80,21,
Shedeur Sanders,Colorado,QB,,23.2,6014,212,31.50,9.375,,,,,,,,,,8.70,22,
James Pearce Jr,Tennessee,EDGE,,21.5,6052,245,32.625,10.00,,4.47,1.56,2.61,,,31.0,1003,9.39,8.10,23,
Grey Zabel,North Dakota State,OT,,23.1,6057,312,32.00,9.50,26,,,,,,36.5,0903,,9.10,24,
Malaki Starks,Georgia,S,,21.4,6007,197,31.50,9.50,,4.50,1.58,2.62,4.45,7.26,33.0,,5.13,7.8,25,
Kenneth Grant,Michigan,DL,,21.5,6035,331,33.50,10.125,22,,,,,,,,,7.50,26,
Tyler Booker,Alabama,OG,,21.0,6045,321,34.50,11.00,21,5.38,1.95,3.18,4.84,7.96,27.0,0710,3.61,8.10,27,
Shemar Stewart,Texas A&M,EDGE,,21.4,6050,267,34.125,9.625,,4.59,1.58,2.66,,,40.0,1011,10.00,6.40,28,
Derrick Harmon,Oregon,DL,,,6044,313,34.375,10.375,,4.95,1.74,2.89,,,,,,7.80,29,
Donovan Ezeiruaku,Boston College,EDGE,,21.6,6024,248,34.00,9.25,22,,,,4.19,6.94,35.5,0911,7.99,8.70,30,
Kelvin Banks Jr,Texas,OT,,21.1,6051,315,33.50,10.375,,5.16,1.78,3.00,4.66,7.81,32.0,0808,8.27,8.30,31,
Maxwell Hairston,Kentucky,CB,,21.7,5112,183,31.00,8.625,,4.28,1.53,2.51,,,39.5,1009,9.62,7.30,32,
TreVeyon Henderson,Ohio State,RB,,22.5,5101,202,30.625,9.50,,4.43,1.59,2.64,,,38.5,1008,8.82,8.30,33,
Walter Nolen,Ole Miss,DL,,21.5,6036,296,32.50,9.50,,,,,,,,,,8.60,34,
Josh Simmons,Ohio State,OT,,22.3,6047,317,33.00,10.00,,,,,,,,,,7.80,35,
Quinshon Judkins,Ohio State,RB,,21.5,5115,221,30.25,9.25,,4.48,1.58,2.61,,,38.5,1100,9.87,7.40,36,
Josh Conerly Jr,Oregon,OT,,21.5,6045,311,33.50,10.375,,5.05,1.70,2.87,,,34.5,0807,8.76,7.80,37,
Mason Taylor,LSU,TE,,21.0,6051,251,33.25,10.00,,,,,,,,,,7.60,38,
Donovan Jackson,Ohio State,OG,,22.4,6035,315,33.50,9.75,,,,,,,,,,7.30,39,
Darius Alexander,Toldeo,DL,,,6037,305,34.00,10.00,28,4.95,1.71,2.91,4.79,7.60,31.5,0903,9.13,8.30,40,
Jaxson Dart,Ole Miss,QB,,21.9,6022,233,30.00,9.50,,,,,,,,,,7.60,41,
Trey Amos,Ole Miss,CB,,23.1,6006,195,31.25,9.00,13,4.43,1.53,2.57,,,32.5,1006,8.85,6.80,42,
Azareye'h Thomas,Flordia State,CB,,20.8,6014,197,32.375,10.00,,,,,,,,1002,,7.30,43,
